result,ratio,cadical-CPU,ReEncode-CPU,ccdclMinus-CPU,ccdcl-CPU,ccdclPlus-CPU,cadical-Wall,ReEncode-Wall,ccdclMinus-Wall,ccdcl-Wall,ccdclPlus-Wall,Name
UNKNOWN,0.336027105,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0ac5ff376b826f68d384ba05a1d00de0-sokoban-p20.sas.cr.33
UNSAT,0.229095885,2240.17,2541.08,2267.81,2140.92,2120.98,2254.22,2558.47,2275.71,2146.34,2137.35,0acb650946685281a796dcada88f8cfd-SGI_30_60_25_40_2-dir.shuffled-as.sat03-120
UNKNOWN,0.335665989,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0acbeae513e3d822dbf5e5fc72a03455-sokoban-p20.sas.cr.39
UNSAT,0.509149236,985.18,5000,1503.93,1657.86,1550.7,990.04,5000,1506.19,1665.49,1554.22,0afdeb9b0b98e31fa0e9271a6706d8fb-gripper13u.shuffled-as.sat03-395
SAT,0.658381909,1464.79,2315.91,1421.28,50.05,1420.32,1470.3,2327.09,1425.94,50.53,1423.67,0b22aa567ddfa8d702378b76167c9195-partial-5-17-s
SAT,0.513013022,17.72,89.17,5000,5000,1909.33,17.81,89.29,5000,5000,1918.08,0b348eb6b61e4f0026437fda402c9b62-vlsat2_16676_1598591.dimacs
UNKNOWN,0.713918249,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0b588a6e45c73bce7c7fed2bf2415c22-phnf-size10-exclusive-equilarge_m3.used-as.sat04-900.sat05-4186.reshuffled-07
UNSAT,0.892680363,312.68,323.79,280.43,309.23,320.58,314.85,324.6,281.49,310.58,320.76,0b79fd06074d17e8919ae2de094c168b-manthey_single-ordered-initialized-w48-b6
SAT,0.784716837,414.52,349.93,155.29,347.41,243.77,415.89,350.34,155.41,347.77,244.09,0b847cc85f4f7e733b2746c6efb02dd8-UR-20-5p1-sc2009
SAT,0.122457565,15.66,5.37,30.05,26.31,20.76,15.64,5.45,30.22,26.23,21.06,0b9c26a4c70242841fad1868c266dc9c-Eternity-10-05_c18
SAT,0.685334755,778.18,306.84,55.7,24.67,56,788.39,313.07,55.79,24.65,56.86,0b9f8c85eaff9eed98a0c5cd3189afb7-transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-NOTKNOWN
SAT,0.316149143,0,0,0,0,0,0.02,0.01,0.02,0.01,0.01,0bd2c7b1f17c160b40be0ddd2846e1e3-driverlog2_ks99i.shuffled-as.sat05-4019
UNSAT,0.883505666,226.96,364.05,1026.39,1215.94,1787.57,228.13,365.03,1029.47,1220.97,1790.33,0c2aa8574a42ef635b8878d6e193d142-crafted_n12_d6_c3_num19
SAT,0.012987013,0.68,0,0.07,1.65,0,0.66,0.01,0.39,1.66,0,0c3d709ab7576354e69ad01dfab14cdb-php-018-018.shuffled-as.sat05-1161
UNKNOWN,0.362380081,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0c3f1f7994db2452d505333684d3ccd7-frb53-24-2.used-as.sat04-888
SAT,0.893617021,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0c40255fc17d99908bda16373de5ada3-289-sat-6x9
SAT,0.15855573,0.05,0,0,0,0,0.07,0,0.01,0.04,0.01,0c945ea640ceb4c2f80463f7930ccb89-bart19.shuffled
SAT,0.306215107,1405.44,195.52,586.98,193.83,349.52,1408.27,196.63,590.96,194.6,351.84,0cbe117e0149223a332679d6c206273e-srhd-sgi-m27-q255-n25-p15-s2076598
SAT,0.754991992,1.5,1.57,1.38,1.76,1.49,1.55,1.61,1.38,1.78,1.49,0cbf8baaec52ee50ccac930d237689af-UTI-10-5t1
UNSAT,0.427471117,141.57,92.13,197.22,973,898.48,141.85,92.34,197.77,977.52,903.46,0cde4f22de8c11325ceadc0a1f87f161-hid-uns-enc-6-1-0-0-0-0-30547
SAT,0.276536878,0,0,0,0,0,0.01,0.06,0.01,0.01,0.01,0d469f1798ea769cf279c9ae32fda704-ferry8_v01a.shuffled-as.sat05-4073
UNSAT,0.275988766,5000,542.92,5000,5000,5000,5000,543.64,5000,5000,5000,0d4b99f6d05c9e993ea8655d355fa3b3-vlsat2_112_4223
UNSAT,0.820210081,55.9,67.4,172.79,313.72,299.95,56.36,67.46,173.11,313.94,301.66,0d6d8b5df5df77f1feaacc1fb58ebf9d-crafted_n10_d6_c2_num6
SAT,0.284087876,3088.7,811.4,2212.33,571.02,2316.41,3105.45,816.83,2225.31,573.78,2336.75,0d7f17f04ed073a8ea39e72783186cdb-49-132779
SAT,0.485955708,0.4,0.41,0.42,0,0.49,0.04,0.05,0.04,0.03,0.05,0e820229802d400529e31e5d6d01f283-too_large_gr_rcs_w9.shuffled
UNSAT,0.650170725,3248.89,3736.96,3543.79,5000,5000,3256.71,3748.44,3551.59,5000,5000,0ebaafc398c713a7ba8f8a231843fade-phnf-size10-exclusive-all.used-as.sat04-986.sat05-4198.reshuffled-07
SAT,0.620915033,0,0.05,0,0,0,0.01,0,0.01,0,0.01,0ef68fc7aa6f2bc7fb74ada9d865da06-depots1_v01a.shuffled-as.sat05-4013
SAT,0.768415418,990.07,304.21,290.94,347.04,370.29,992.55,304.92,291.96,348.36,372.01,0f4911e1180b80b45e9db7ec5e73eb66-hcp_CP16_16
UNKNOWN,0.36668741,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0f720de29e385918ebecb8847ace5947-rbsat-v2640c305320g6
SAT,0.286612516,5000,5000,2270.51,1784.35,5000,5000,5000,2288.12,1792.61,5000,0ff0fc8ef80d32742d38231869d5d244-59-131147
SAT,0.59686373,0.06,0.01,1.07,1.21,1.37,0.36,0.13,1.1,1.19,1.33,10253f0a4b37654146aaf73a9fbbd929-complete-500-0.1-15-98765432150015
UNKNOWN,0.841538915,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,102ddb414ef5a0f8cf06f168df8f271a-Timetable_C_151_E_34_Cl_10_S_4
UNKNOWN,0.366510273,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,107deb612f9f837acc53383e522196ae-frb56-25-1.used-as.sat04-889
SAT,0.159566327,0,0,0,0,0,0.01,0.01,0.01,0.01,0,10b246af85ac9f0a525e5d50fab31d2a-satellite3_v01a.shuffled-as.sat05-4056
SAT,0.038815305,1.71,1.49,8.56,142.04,78.39,1.6,1.49,8.45,142.24,78.67,10eac59a20ab8b94d22d75557b22c364-battleship-24-57-sat
UNSAT,0.488659222,0.29,0.33,0.29,0.18,0.01,0.1,0.11,0.08,0.19,0.12,10f58658725d26a71262cd04f3088a1d-too_large_gr_rcs_w6.shuffled
SAT,0.309078069,1219.82,230.38,4683.28,3977.62,937.34,1224.98,231.33,4699.17,3987.34,941.61,1120bee8e16a37c21c4a7aed604514ae-sgp_5-6-8.shuffled-as.sat05-2669
SAT,0.392559333,0,0,0,0,0,0.01,0,0.01,0,0,1169b7c01112d97a6835d259052284ba-driverlog3_v01a.shuffled-as.sat05-4030
UNKNOWN,0.051851852,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,116bae11adddfa555f2e21f8ee678de5-randomG-n17-d05
UNKNOWN,0.259532396,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,116ec46e0e46aa01f5234ab402cd90d2-SGI_30_70_30_60_2-dir.shuffled-as.sat03-185
SAT,0.302986711,0,0.05,0.51,0,1377.64,0.04,0.04,0.04,0.02,1385.19,118415e2696075a8a1c5720c1838f1a7-srhd-sgi-m32-q369.75-n30-p30-s25693430
SAT,0.340544505,6.01,2.27,8.13,1.9,3.21,5.97,2.25,8.11,1.85,3.15,11dcd55f9d6ce8873cd8150ce5ca6c4e-logistics-rotate-09t6.shuffled-as.sat05-1133
SAT,0.435953543,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,11f42e0d5ec5000614a12daeb322ba49-driverlog6_v01a.renamed-as.sat05-3968
SAT,0.761537406,4132.63,170.07,99.21,742.3,219.13,4143.72,171.27,99.41,745.24,219.77,12ebd70c1846efa7337844610e3b209f-openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.075-NOTKNOWN
UNSAT,0.480701754,4782.11,5000,5000,592.82,576.24,4801.81,5000,5000,597.06,577.23,1349981bf0b0025492ab5dae1d8647df-edges-072-3-7902777-18
UNSAT,0.33328074,1355.94,1710.37,670.81,571.38,646.55,1362.25,1722.72,674.06,573.7,647.6,13538df69c3bc26707750ba55d90c9b0-blocks-blocks-37-1.130-NOTKNOWN
SAT,0.587658121,0.17,0.05,0.17,0,0.15,0.07,0.11,0.03,0.02,0.29,13a72d8a4bb5a6414fdc8ae989fee92d-ferry10.shuffled-as.sat03-378
UNSAT,0.028052805,157.12,59.88,224.19,200.75,230.44,157.58,60.04,225.45,204.67,231.69,13fe4d700bdbec733be548e0ec21b544-fphp-012-010.shuffled-as.sat05-1214
SAT,0.265593427,0.51,0.68,0.56,0.04,1.15,0.56,0.63,1.05,0.22,1.14,1419e4ee2ad74d456f94797c307dfe4b-srhd-sgi-m62-q1327.5-n60-p30-s52708253
