ConRatio,Clauses,KClauses,dAmoCnt,eAmoCnt,DirMax,EncMax,OtherCnt,ElimVars,EncodeWeightSumK,Star_Time_CPU,Star_Time_Wall,Time,Name
0.112858253,43754,4938,2438,0,12,0,0,0,0,1.04,0.77,0.66,5139d6116f8740e708354c92daa5c6a9-bqwh.50.825.shuffled-as.sat03-1648
0.114895081,2907,334,34,0,15,0,0,0,0,0.07,0.13,0.04,29220bf1c4ae9e8a55cd572d682ff07b-bart28.shuffled
0.117127072,2715,318,33,0,15,0,0,0,0,0.07,0.13,0.03,eebf7fd478bc1f12cb21ecdfa36c3771-bart26.shuffled
0.119531686,53810,6432,3166,0,12,0,0,0,0,1.28,0.94,0.83,1d567dd1fccbe35405eeda280c4ca15d-bqwh.60.1080.shuffled-as.sat03-1649
0.122457565,142629,17466,201,2,50,6,0,4,12,2.08,2.07,1.91,0b9c26a4c70242841fad1868c266dc9c-Eternity-10-05_c18
0.123754153,2408,298,32,0,14,0,0,0,0,0.06,0.12,0.03,86fef51bd7eceeea0f92dfad03d21740-bart25.shuffled
0.12460733,955,119,19,0,10,0,0,0,0,0.06,0.11,0.01,772769f39aa2dc207054a2713672a743-battleship-10-19-sat
0.125,2176,272,16,0,16,0,0,0,0,0.06,0.12,0.03,6b4210431794451c101e5a06f033edc4-battleship-16-16-unsat
0.125033213,26345,3294,1589,0,13,0,0,0,0,0.58,0.49,0.39,d1a62a8688c6c4fabd0dec3770ce40dd-qwh.40.560.shuffled-as.sat03-1654
0.128475551,2086,268,30,0,14,0,0,0,0,0.06,0.11,0.03,ca1c2caa2f32c735b03b448ed80a807d-bart24.shuffled
0.12967033,910,118,18,0,10,0,0,0,0,0.05,0.1,0.01,46d997b3611659598a5b5dc00d3758c8-battleship-10-18-sat
0.130863115,1842536,241120,3981,0,144,0,0,0,0,38.72,38.73,37.9,b5d34fefe2bcdbc8615b9f3a3bee546a-em_14_7_3_exp
0.133333333,1800,240,15,0,15,0,0,0,0,0.06,0.11,0.02,4b0afcc5aedad542ee87820713ed3157-battleship-15-15-unsat
0.135260116,865,117,17,0,10,0,0,0,0,0.05,0.1,0.01,83a1e1bb441806ee6112b1f2365456ca-battleship-10-17-sat
0.135588957,7585190,1028468,480354,0,160,0,0,0,0,765.94,766.34,762.69,e8408d02568ac7214d2d4cad6d59e9bf-vlsat2_144_7585
